id_producto;id_estado;id_tipo_producto;nom_producto;desc_producto;nom_marca;nom_talla;costo_prom;cantidad
5;1;7;PANTALON DESFILE HOMBRE;PANTALON DESFILE BLANCO HOMBRE;Sin Marca;Sin Talla;24339;2
8;1;7;BARBOQUEJO NEGRO;;Sin Marca;Sin Talla;4227;198
12;1;9;CORRECTOR LIQUIDO;;Sin Marca;Sin Talla;683;1
13;1;9;GOMA DE BORRAR;;Sin Marca;Sin Talla;211;11
21;1;0;PORTA T.I.N. DE CUERO;;Sin Marca;Sin Talla;4249;46
24;1;7;SOSTEN DEPORTIVO;SOSTEN BLANCO COPA;FLORES;Sin Talla;5804;13
27;1;3;TAMPAX;TAMPAX ;ESCUELA NAVAL;Sin Talla;2567;8
35;1;7;TRAJE DE BAÑO HOMBRE;TRAJE DE BAÑO HOMBRE ;CARTERS;Sin Talla;9077;8
40;1;5;ZAPATO DE COMBATE;;ARMADA C. AB.;Sin Talla;23413;6
42;1;0;FUNDA DE ROPA;;Sin Marca;Sin Talla;11293;70
44;1;6;PROTECTOR DIARIO MUJER;PROTECTOR DIARIO MUJER;Sin Marca;Sin Talla;1261;3
47;1;7;TENIDA SARGA FINA 14-A HOMBRE;TENIDA SARGA FINA 14-A HOMBRE;Sin Marca;Sin Talla;56718;9
53;1;3;TIRO DE CUERO P/ESPADA;;Sin Marca;Sin Talla;47707;51
54;1;5;ZAPATO REINA;ZAPATO REINA ;Sin Marca;Sin Talla;29381;31
73;1;0;PALAS RIGIDAS BRIGADIER MAYOR;;Sin Marca;Sin Talla;7758;22
74;1;0;CANDADO CHICO;;ODIS;Sin Talla;1971;4
76;1;3;HORQUILLA P/CABELLO;;Sin Marca;Sin Talla;955;53
78;1;7;CREMA PARA PEINAR;;Sin Marca;Sin Talla;1895;23
81;1;0;ALICATE CORTA UÑAS;;Sin Marca;Sin Talla;7249;3
82;1;3;COLET DE RASO NEGRO;;Sin Marca;Sin Talla;1278;53
87;1;7;TENIDA SARGA FINA 14-A MUJER;TENIDA SARGA FINA 14-A HOMBRE;ARMADA C. AB.;Sin Talla;50214;15
91;1;0;SOSTEN DE COPA;;Sin Marca;Sin Talla;5592;13
94;1;7;ESCUDOS DE PANAMA;;Sin Marca;Sin Talla;18662;1
96;1;6;ANTIMICOTICO CREMA;ANTIMICOTICO CREMA;Sin Marca;Sin Talla;537;4
97;1;7;PALAS FLEXIBLES T1° C.AB;;Sin Marca;Sin Talla;4092;7
99;1;0;PALAS RIGIDAS T1° C. AB;;Sin Marca;Sin Talla;4429;10
100;1;0;PARCHE DISTINTIVO  CADETE IM.;;Sin Marca;Sin Talla;1041;15
101;1;0;PLUMON PLASTICO ROPA NEGRO;;PILOT;Sin Talla;998;12
102;1;7;TENIDA DE COMBATE I.M.;;TRUSTPEC;Sin Talla;58169;15
103;1;3;COLET ESLASTICO;;Sin Marca;Sin Talla;102;59
106;1;0;LAPIZ  DELINEADOR LABIOS;;Sin Marca;Sin Talla;2143;17
115;1;0;VOLUME LENGHT WP;;Sin Marca;Sin Talla;4381;2
124;1;12;REGLA PARALELA DE 15;;Sin Marca;Sin Talla;13033;28
125;1;3;PEALES NEGROS ELASTICADOS;;Sin Marca;Sin Talla;955;21
126;1;6;MAQUINA DE AFEITAR;MAQUINA DE AFEITAR;Sin Marca;Sin Talla;2979;3
127;1;6;CEPILLO DE DIENTES;;Sin Marca;Sin Talla;558;2
130;1;7;CAMISETA DEPORTIVA BLANCA DAMA;;Sin Marca;Sin Talla;5834;1
131;1;0;CAMISETA DRY FIT MUJER;CAMISETA DRY FIT MUJER;Sin Marca;Sin Talla;8207;41
132;1;0;TOALLITA DESMAQUILLANTE;;Sin Marca;Sin Talla;2285;1
134;1;3;CHAPA PARADA CON ANCLA;CHAPA PARADA CON ANCLA;Sin Marca;Sin Talla;3332;151
136;1;7;ALCOHOL GEL GERMAGEL 60ML.;;Sin Marca;Sin Talla;809;79
139;1;7;CAPA PAÑO SEDAN;;Sin Marca;Sin Talla;120141;3
142;1;3;CORDON TRICOLOR;;Sin Marca;Sin Talla;600;0
146;1;7;GUANTES STRECH MUJER;GUANTES STRECH MUJER;Sin Marca;Sin Talla;1871;261
147;1;0;PIJAMA GAMUZA;PIJAMA GAMUZA ;Sin Marca;Sin Talla;16402;30
149;1;7;GORRA FEMENINA;GORRA FEMENINA;Sin Marca;Sin Talla;45514;4
150;1;3;CADENILLA PARA SMOKING;;Sin Marca;Sin Talla;1133;34
155;1;3;PALAS FLEXIBLE E.N.;PALAS FLEXIBLE E.N.;Sin Marca;Sin Talla;5450;7
164;1;7;PORTAMINA 0.5;;Sin Marca;Sin Talla;337;27
165;1;3;CEPILLO PARA CABELLO;;Sin Marca;Sin Talla;3076;6
166;1;3;ENCRESPADOR;;Sin Marca;Sin Talla;3676;10
167;1;3;ESPEJO PARA CARTERA;ESPEJO PARA CARTERA ;Sin Marca;Sin Talla;1350;1
171;1;3;GEL PARA CABELLO VO5 VARON;;Sin Marca;Sin Talla;948;16
173;1;0;COLOR DEFINER SHADOW BRONZE;;Sin Marca;Sin Talla;2969;1
182;1;6;SEDA DENTAL;SEDA DENTAL;ESNAVAL;Sin Talla;1814;26
185;1;6;CORTAUÑA;CORTAUÑA;TRIM;Sin Talla;1005;3
186;1;3;BLOQUEADOR LABIAL;BLOQUEADOR LABIAL;Sin Marca;Sin Talla;1814;1
187;1;6;DESODORANTE SPRY PARA PIES;DESODORANTE SPRY PARA PIES;Sin Marca;Sin Talla;3124;18
190;1;3;BOLSO PORTADOCUMENTO;;Sin Marca;Sin Talla;17315;6
195;1;6;JABONERA PLASTICA;;Sin Marca;Sin Talla;693;12
196;1;6;CREMA HUMECTANTE;;Sin Marca;Sin Talla;2388;1
198;1;7;CAMISETA DRY FIT;CAMISETA DRY FIT MUJER;CARTERS;Sin Talla;8078;5
199;1;7;BATA BAÑO;BATA BAÑO ;CARTERS;M;27630;9
200;1;7;BOTON DORADO 13 MM;;Sin Marca;Sin Talla;755;547
204;1;9;LAPIZ DE PASTA ROJO;;Sin Marca;Sin Talla;109;37
207;1;0;PANTALON SARGA FINA HOMBRE;PANTALON SARGA FINA HOMBRE;BENSONS;Sin Talla;18186;11
228;1;8;MANUAL ORIENTACION PROFESIONAL;;IMPRENTA;Sin Talla;26541;24
232;1;7;GUANTE BLANCO HOMBRE;;Sin Marca;Sin Talla;2013;237
234;1;3;DRAGONAS;;Sin Marca;Sin Talla;33827;6
235;1;0;GUANTES STRECH MUJER;GUANTES STRECH MUJER;ESNAVAL;Sin Talla;1871;622
239;1;3;ANCLOTE BRONCE COLOR BLANCO;;Sin Marca;Sin Talla;1378;3
242;1;3;HERRETE DE IDENTIFICACION CP-1718;;Sin Marca;Sin Talla;1759;1
243;1;0;HERRETE DE IDENTIFICACION CP-1722;;Sin Marca;Sin Talla;1800;26
247;1;9;PLUMON PILOT BLANCO;;Sin Marca;Sin Talla;1657;4
249;1;7;FUNDA DE GORRA;;Sin Marca;Sin Talla;5721;157
252;1;3;MAQUINA  DE AFEITAR;MAQUINA  DE AFEITAR;Sin Marca;Sin Talla;3225;6
264;1;0;PANTALETA MUJER;;Sin Marca;Sin Talla;2820;4
265;1;7;SABANAS BLANCAS;SABANAS BLANCAS;ROPA;Sin Talla;3528;181
266;1;7;APELLIDO AMBO COMBATE;APELLIDO AMBO COMBATE;ESNAVAL;Sin Talla;1276;7
267;1;0;CORBATIN LANILLA;CORBATIN LANILLA ;Sin Marca;Sin Talla;2045;19
269;1;3;PORTA SERVILLETERO;;Sin Marca;Sin Talla;10296;3
272;1;0;PANTALON DE NAVEGACION;;Sin Marca;Sin Talla;9612;62
277;1;3;ESTRELLA BORDADA P/MANGA;;Sin Marca;Sin Talla;2806;137
278;1;3;GORRO NAVEGACION;GORRO NAVEGACION;Sin Marca;Sin Talla;2978;1
288;1;7;CALZON LARGO;CALZON LARGO;CARTERS;Sin Talla;6365;22
297;1;7;PLACA BANDERA CHILENA;;Sin Marca;Sin Talla;6175;8
301;1;3;LLAVERO METALICO CON ESCUDO;;MEDAL;Sin Talla;1836;4
302;1;7;CALZA LAYCRA UNISEX;CALZA LAYCRA UNISEX;Sin Marca;M;7553;18
305;1;0;TAPAS MANUAL DEL CADETE;;Sin Marca;Sin Talla;3331;86
306;1;0;REPUESTO MQ. AFEITAR;;Sin Marca;Sin Talla;5548;11
309;1;0;CAMISETA ANCLAS CRUZADAS;CAMISETA ANCLAS CRUZADAS;ESNAVAL;Sin Talla;5251;15
314;1;0;CANCIONERO NAVAL;;Sin Marca;Sin Talla;1455;5
315;1;0;PAÑUELO BLANCOS;;Sin Marca;Sin Talla;312;3
324;1;3;PIOCHA ANCLAS CRUZADAS 25MM;;Sin Marca;Sin Talla;2010;107
327;1;0;ROSA MANIOBRA;;Sin Marca;Sin Talla;61;1823
328;1;3;BOLSA P/LAVADO DE ROPA;;Sin Marca;Sin Talla;563;11
330;1;0;TOALLA GRANDE BLANCA;;Sin Marca;Sin Talla;8613;94
332;1;6;DESODORANTE EN SPRAY HOMBRE;DESODORANTE EN SPRAY HOMBRE;Sin Marca;Sin Talla;1434;15
333;1;7;PANTALON DESFILE HOMBRE;PANTALON BLANCO DESFILE VARON;ESCUELA NAVAL;Sin Talla;24339;51
334;1;7;CORBATIN RASO;CORBATIN RASO;Sin Marca;Sin Talla;2080;38
338;1;7;PANTALON DESFILE MUJER;PANTALON DESFILE MUJER;Sin Marca;Sin Talla;22091;9
344;1;0;COMPAS PUNTA SECA;;Sin Marca;Sin Talla;16428;3
353;1;7;GUANTE CUERO CAFE;;Sin Marca;Sin Talla;9566;1
361;1;3;PANTY ELASTICADA;PANTY ELASTICADA;Sin Marca;Sin Talla;3503;37
362;1;3;PAÑUELO BLANCO;;Sin Marca;Sin Talla;312;52
365;1;7;PARCHE DOBLE CUADRO DE HONOR;PARCHE DOBLE CUADRO DE HONOR ;Sin Marca;Sin Talla;1849;24
366;1;7;PARCHE SIMPLE CUADRO DE HONOR;PARCHE SIMPLE CUADRO DE HONOR;Sin Marca;Sin Talla;1191;39
370;1;11;ANOTADOR NAVAL;;Sin Marca;Sin Talla;2200;10
372;1;3;CARTERA DE CUERO NEGRA;;Sin Marca;Sin Talla;33607;8
375;1;7;CORBATA NEGRA LANILLA;;Sin Marca;Sin Talla;2007;41
376;1;3;ESPADA PARA OFICIAL;;Sin Marca;Sin Talla;254916;6
383;1;0;BLOCK DE 50 HJ PAPEL 880;;Sin Marca;Sin Talla;697;27
387;1;0;LIBRETA DE BOLSILLO P/APUNTES;;Sin Marca;Sin Talla;425;5
388;1;11;PORTA VASOS 6 UN;;Sin Marca;Sin Talla;8500;1
391;1;7;PARKA IM;;Sin Marca;Sin Talla;90488;24
401;1;7;PALAS DE PANAMA;;Sin Marca;Sin Talla;14930;1
405;1;0;BALSAMO SEDAL;;A.SHOE;Sin Talla;1675;3
408;1;3;COLLERA DE CUELLO;;ESNAVAL;Sin Talla;857;50
409;1;7;PIOCHA LITORAL DORADA;;Sin Marca;Sin Talla;3534;13
410;1;3;PLACA IDENTIFICACION;;ROPA;Sin Talla;3000;1
411;1;3;DISTINTIVO BRIG.MAYOR T/PARADA;DISTINTIVO BRIG.MAYOR T/PARADA;Sin Marca;Sin Talla;4495;7
412;1;0;ESPEJO SEÑALES CON FUNDA;;Sin Marca;Sin Talla;8391;62
415;1;3;GUANTES DE CUERO;;Sin Marca;Sin Talla;9768;16
418;1;0;PORTA LAPIZ DE VINILICO;;Sin Marca;Sin Talla;689;2
424;1;3;PARCHES OLIMPICOS;;Sin Marca;Sin Talla;1008;168
425;1;3;BOTON DORADO 23 MM P/LARGA;;WATERBURY;Sin Talla;952;90
427;1;4;QUEPIS IM.;;Sin Marca;Sin Talla;5634;149
428;1;3;CUBRECAMA CHENILLE;;Sin Marca;Sin Talla;18339;2
429;1;3;CUBRE COLCHON;;Sin Marca;Sin Talla;11444;2
431;1;3;PALAS FLEXIBLES 3 AÑO;;Sin Marca;Sin Talla;2261;8
436;1;0;PALAS RIGIDAS BRIGADIER;;Sin Marca;Sin Talla;6324;80
438;1;3;PIOCHA INFANTERIA DE MARINA;;Sin Marca;Sin Talla;3327;14
439;1;0;CORBATA NEGRA RAZO;;Sin Marca;Sin Talla;3039;184
440;1;7;CAMISETA LANILLA M/C;CAMISETA LANILLA MANGA CORTA;CARTERS;Sin Talla;3060;96
441;1;3;BILLETERA CUERO, LOGO E.N.;;ESCUELA NAVAL;Sin Talla;6657;2
457;1;0;PALAS RIGIDA E.N.;;Sin Marca;Sin Talla;5431;49
458;1;0;AUTOADHESIVO LOGO E.N.;;Sin Marca;Sin Talla;246;1185
461;1;6;PASTA DENTAL;PASTA DENTAL;Sin Marca;Sin Talla;1348;9
464;1;0;SACAPUNTA METALICO;;Sin Marca;Sin Talla;216;4
465;1;3;ESCOBILLA DE ZAPATO C/BETUNERA;;Sin Marca;Sin Talla;1656;4
466;1;0;PEGAMENTO STIC-FIX EN BARRA;;Sin Marca;Sin Talla;462;16
468;1;0;DISKETTE  3.5  A.D.;;Sin Marca;Sin Talla;144;50
473;1;0;PALAS RIGIDA BRIGADIER MAYOR;;Sin Marca;Sin Talla;7422;17
478;1;0;ESCUADRA STAEDTLER 45;;Sin Marca;Sin Talla;937;5
481;1;0;PALAS FLEXIBLE 2 AÑO;;Sin Marca;Sin Talla;2261;10
493;1;0;CAMISA BLANCA PECHERA;;Sin Marca;Sin Talla;6885;150
494;1;3;BOTON NEGRO PARA GORRA;BOTON NEGRO PARA GORRA;ARMADA C. AB.;Sin Talla;1057;257
496;1;7;PANTALON DEPORTIVO;PANTALON DEPORTIVO;CARTERS;Sin Talla;6152;31
499;1;7;CALCETAS BLANCA CORTA DEPORT.;;Sin Marca;Sin Talla;1578;122
500;1;3;DESODORANTE CORPORAL, SP;;Sin Marca;Sin Talla;1214;9
503;1;7;CINTURON NEGRO;CINTURON NEGRO;Sin Marca;Sin Talla;2366;76
504;1;3;PITO DE MANIOBRA;;Sin Marca;Sin Talla;4407;23
514;1;3;FRAZADA;;PLAZA Y MEDIA;Sin Talla;8912;6
515;1;3;PORTA TIN GIRATORIO;;Sin Marca;Sin Talla;1056;115
517;1;3;LIGAS PARA BOTA;;Sin Marca;Sin Talla;1188;56
522;1;0;MINA FINA 0.7;;Sin Marca;Sin Talla;386;4
532;1;7;PIJAMA BLANCO;;ESNAVAL;Sin Talla;8638;36
533;1;0;WOLLY POLLY;;Sin Marca;Sin Talla;34837;9
535;1;0;CUADERNO UNIVERSITARIO DE MATE;;Sin Marca;Sin Talla;556;160
536;1;6;ESPUMA DE AFEITAR;ESPUMA DE AFEITAR;Sin Marca;Sin Talla;4033;11
543;1;7;CAMISA SMOKING PLIZADA;CAMISA SMOKING PLIZADA;ARAUCO;Sin Talla;16677;19
544;1;7;PALAS FLEXIBLE E.N.;PALAS FLEXIBLE E.N.;ESNAVAL;Sin Talla;5450;3
545;1;7;IMPERMEABLE NAVAL;;Sin Marca;Sin Talla;46599;11
546;1;0;COLLERA DE PUÑO;;Sin Marca;Sin Talla;5504;52
555;1;0;PORTA GORRA HOMBRE;;Sin Marca;Sin Talla;6278;15
557;1;7;CALCETIN DE INVIERNO;;Sin Marca;Sin Talla;1993;1232
562;1;0;LIMPIA METAL, BRASSO;;Sin Marca;Sin Talla;3499;10
564;1;6;TOALLA BLANCA CHICA;;Sin Marca;Sin Talla;4349;116
568;1;3;DISTINTIVO BRIG.T/PARADA;DISTINTIVO BRIG.T/PARADA;Sin Marca;Sin Talla;4379;51
569;1;6;ESCOBILLA DE UÑA;;Sin Marca;Sin Talla;544;40
571;1;3;CORTAUÑA;CORTAUÑA;TRECK;Sin Talla;1005;5
575;1;7;SLIP BLANCO;;Sin Marca;Sin Talla;1858;462
576;1;0;LAPIZ DE PASTA AZUL;;Sin Marca;Sin Talla;102;15
581;1;0;MINAS 0.5 REPUESTO;;Sin Marca;Sin Talla;523;18
582;1;0;TIRANTE PARA PANTALON;;Sin Marca;Sin Talla;3689;11
585;1;3;DISTINTIVO BRIG.T/SERVICIO;DISTINTIVO BRIG.T/SERVICIO;Sin Marca;Sin Talla;4257;55
586;1;0;PAÑO AMARILLO DE LIMPIEZA;;Sin Marca;Sin Talla;793;13
588;1;0;BLOCK DE CERTAMEN;;Sin Marca;Sin Talla;1658;46
594;1;0;FUNDA DE ALMOHADA;;Sin Marca;Sin Talla;940;1
596;1;0;BOTON DORADO 13 MM;;OFICIAL;Sin Talla;755;13
597;1;6;FIJADOR CABELLO MUJER;GEL PARA CABELLO MUJER;Sin Marca;Sin Talla;3245;2
599;1;0;PALAS FLEXIBLES 1 AÑO;;Sin Marca;Sin Talla;2641;71
604;1;6;SHAMPOO MUJER;SHAMPOO MUJER;Sin Marca;Sin Talla;1345;13
605;1;3;MALLA P/CABELLO;;Sin Marca;Sin Talla;877;17
606;1;6;TOALLAS HIGENICAS;TOALLAS HIGENICAS;Sin Marca;Sin Talla;1084;9
